scenario_id,name,domain,domain_group,difficulty,source
S001_neuro_metadata,neuro_metadata,neuroscience,neuroscience,easy,real
S002_spike_behavior,spike_behavior,neuroscience,neuroscience,hard,real
S004_satellite,satellite,earth_science,earth_science,medium,real
S007_data_viz,data_viz,neuroscience,neuroscience,easy,real
S008_materials_qa,materials_qa,materials_science,materials,medium,real
S009_earth_obs,earth_obs,earth_science,earth_science,easy,real
S011_particle_physics,particle_physics,physics,physics,medium,synthetic
S012_uv_spectroscopy,uv_spectroscopy,chemistry,chemistry,medium,synthetic
S014_clinical_lab,clinical_lab,medical,medical,easy,synthetic
S019_eeg_filtering,eeg_filtering,signal_processing,engineering,medium,synthetic
S021_air_quality,air_quality,environmental_science,environmental,easy,synthetic
S022_well_log,well_log,geology,earth_science,medium,synthetic
S026_earthquake_catalog,earthquake_catalog,seismology,earth_science,medium,synthetic
S027_crop_features,crop_features,agricultural_science,environmental,easy,synthetic
S029_flood_frequency,flood_frequency,hydrology,earth_science,medium,synthetic
S030_fossil_morpho,fossil_morpho,paleontology,ecology,easy,synthetic
S032_stellar_spectra,stellar_spectra,astronomy,astronomy,hard,synthetic
S035_pulsar_timing,pulsar_timing,astronomy,astronomy,hard,synthetic
S036_cmb_power_spectrum,cmb_power_spectrum,astronomy,astronomy,medium,synthetic
S037_asteroid_orbit,asteroid_orbit,astronomy,astronomy,easy,synthetic
S038_solar_flare,solar_flare,astronomy,astronomy,easy,synthetic
S043_rmsd_alignment,rmsd_alignment,protein_structure,biology,medium,synthetic
S044_bfactor_analysis,bfactor_analysis,protein_structure,biology,easy,synthetic
S046_disulfide_bonds,disulfide_bonds,protein_structure,biology,hard,synthetic
S048_gene_ontology,gene_ontology,genomics,biology,easy,synthetic
S050_snp_ld,snp_ld,genomics,biology,hard,synthetic
S051_primer_design,primer_design,genomics,biology,easy,synthetic
S054_species_accumulation,species_accumulation,ecology,ecology,easy,synthetic
S056_habitat_suitability,habitat_suitability,ecology,ecology,medium,synthetic
S060_phenology_shifts,phenology_shifts,ecology,ecology,hard,synthetic
S062_wave_spectrum,wave_spectrum,oceanography,oceanography,medium,synthetic
S063_tidal_analysis,tidal_analysis,oceanography,oceanography,easy,synthetic
S064_sea_surface_temp,sea_surface_temp,oceanography,oceanography,easy,synthetic
S066_acoustic_doppler,acoustic_doppler,oceanography,oceanography,hard,synthetic
S068_weather_fronts,weather_fronts,atmospheric,atmospheric,medium,synthetic
S069_rainfall_extreme,rainfall_extreme,atmospheric,atmospheric,easy,synthetic
S070_wind_rose,wind_rose,atmospheric,atmospheric,easy,synthetic
S074_heat_index,heat_index,atmospheric,atmospheric,hard,synthetic
S075_tensile_curves,tensile_curves,materials,materials,easy,synthetic
S077_grain_size,grain_size,materials,materials,easy,synthetic
S081_hardness_mapping,hardness_mapping,materials,materials,hard,synthetic
S085_spirometry_flow,spirometry_flow,medical,medical,easy,synthetic
S087_drug_interaction,drug_interaction,medical,medical,medium,synthetic
S088_dicom_metadata,dicom_metadata,medical,medical,hard,synthetic
S091_modulation_classify,modulation_classify,signal_processing,engineering,hard,synthetic
S092_chirp_detection,chirp_detection,signal_processing,engineering,easy,synthetic
S094_spectral_leakage,spectral_leakage,signal_processing,engineering,hard,synthetic
S095_sentiment_score,sentiment_score,social_science,social_science,easy,synthetic
S096_network_influence,network_influence,social_science,social_science,medium,synthetic
S097_topic_frequency,topic_frequency,social_science,social_science,easy,synthetic
