scenario_id,name,domain,score,max_score,cost_usd,n_files,failed_checks
S001_neuro_metadata,neuro_metadata,neuroscience,23,24,0.270054,6,has_code_snippet
S002_spike_behavior,spike_behavior,neuroscience,23,24,0.268305,6,has_code_snippet
S004_satellite,satellite,earth_science,23,24,0.279513,6,has_code_snippet
S007_data_viz,data_viz,neuroscience,23,24,0.28097099999999997,6,has_code_snippet
S008_materials_qa,materials_qa,materials,23,24,0.284835,6,has_code_snippet
S009_earth_obs,earth_obs,earth_science,23,24,0.281487,6,has_code_snippet
S011_particle_physics,particle_physics,physics,23,24,0.279318,6,has_code_snippet
S012_uv_spectroscopy,uv_spectroscopy,chemistry,23,24,0.277782,6,has_code_snippet
S014_clinical_lab,clinical_lab,medical,23,24,0.283482,6,has_code_snippet
S019_eeg_filtering,eeg_filtering,engineering,23,24,0.281343,6,has_code_snippet
S021_air_quality,air_quality,environmental,23,24,0.297387,6,has_code_snippet
S022_well_log,well_log,earth_science,23,24,0.286779,6,has_code_snippet
S026_earthquake_catalog,earthquake_catalog,earth_science,23,24,0.285843,6,has_code_snippet
S027_crop_features,crop_features,environmental,23,24,0.274239,6,has_code_snippet
S029_flood_frequency,flood_frequency,earth_science,23,24,0.28577400000000003,6,has_code_snippet
S030_fossil_morpho,fossil_morpho,ecology,23,24,0.283578,6,has_code_snippet
S032_stellar_spectra,stellar_spectra,astronomy,23,24,0.321144,6,has_code_snippet
S035_pulsar_timing,pulsar_timing,astronomy,23,24,0.283242,6,has_code_snippet
S036_cmb_power_spectrum,cmb_power_spectrum,astronomy,22,24,0.287064,6,has_error_handling|has_code_snippet
S037_asteroid_orbit,asteroid_orbit,astronomy,23,24,0.28390499999999996,6,has_code_snippet
S038_solar_flare,solar_flare,astronomy,23,24,0.293688,6,has_code_snippet
S043_rmsd_alignment,rmsd_alignment,biology,23,24,0.288456,6,has_code_snippet
S044_bfactor_analysis,bfactor_analysis,biology,23,24,0.273453,6,has_code_snippet
S046_disulfide_bonds,disulfide_bonds,biology,23,24,0.291783,6,has_code_snippet
S048_gene_ontology,gene_ontology,biology,23,24,0.28312499999999996,6,has_code_snippet
S050_snp_ld,snp_ld,biology,23,24,0.139074,6,has_code_snippet
S051_primer_design,primer_design,biology,23,24,0.288423,6,has_code_snippet
S054_species_accumulation,species_accumulation,ecology,23,24,0.301854,6,has_code_snippet
S056_habitat_suitability,habitat_suitability,ecology,23,24,0.287832,6,has_code_snippet
S060_phenology_shifts,phenology_shifts,ecology,23,24,0.320244,6,has_code_snippet
S062_wave_spectrum,wave_spectrum,oceanography,23,24,0.289074,6,has_code_snippet
S063_tidal_analysis,tidal_analysis,oceanography,23,24,0.2892,6,has_code_snippet
S064_sea_surface_temp,sea_surface_temp,oceanography,23,24,0.282123,6,has_code_snippet
S066_acoustic_doppler,acoustic_doppler,oceanography,23,24,0.301002,6,has_code_snippet
S068_weather_fronts,weather_fronts,atmospheric,23,24,0.278025,6,has_code_snippet
S069_rainfall_extreme,rainfall_extreme,atmospheric,23,24,0.274893,6,has_code_snippet
S070_wind_rose,wind_rose,atmospheric,23,24,0.286092,6,has_code_snippet
S074_heat_index,heat_index,atmospheric,23,24,0.294825,6,has_code_snippet
S075_tensile_curves,tensile_curves,materials,23,24,0.28992300000000004,6,has_code_snippet
S077_grain_size,grain_size,materials,23,24,0.288747,6,has_code_snippet
S081_hardness_mapping,hardness_mapping,materials,23,24,0.32145599999999996,6,has_code_snippet
S085_spirometry_flow,spirometry_flow,medical,23,24,0.282729,6,has_code_snippet
S087_drug_interaction,drug_interaction,medical,23,24,0.30474,6,has_code_snippet
S088_dicom_metadata,dicom_metadata,medical,23,24,0.295899,6,has_code_snippet
S091_modulation_classify,modulation_classify,engineering,23,24,0.298518,6,has_code_snippet
S092_chirp_detection,chirp_detection,engineering,23,24,0.289734,6,has_code_snippet
S094_spectral_leakage,spectral_leakage,engineering,23,24,0.307803,6,has_code_snippet
S095_sentiment_score,sentiment_score,social_science,23,24,0.284379,6,has_code_snippet
S096_network_influence,network_influence,social_science,23,24,0.286644,6,has_code_snippet
S097_topic_frequency,topic_frequency,social_science,23,24,0.28062,6,has_code_snippet
